,Алгоритм,Precision,Recall,NDCG,Accuracy,Общий скор,Тип
1,KNN+PHCF-BPR,0.0667,0.078,0.1778,0.9108,0.1034,Hybrid
2,PHCF-BPR,0.0696,0.0775,0.1729,0.9111,0.103,LightFM
3,NCF,0.0538,0.059,0.1628,0.9094,0.0881,Neural
4,KNN,0.0474,0.0738,0.1483,0.9088,0.0856,Collaborative
5,LightFM-WARP,0.0509,0.0651,0.1426,0.9094,0.0827,LightFM
6,Popular,0.0661,0.038,0.114,0.911,0.072,Baseline
7,KNN+LightFM-WARP,0.0468,0.0611,0.1108,0.9092,0.0703,Hybrid
8,WRMF,0.0579,0.0182,0.1021,0.9099,0.0592,Matrix Factorization
9,SASRec,0.0515,0.0158,0.0952,0.9094,0.0539,Neural
10,NMF,0.0263,0.03,0.0589,0.9071,0.0372,Matrix Factorization
11,PCA,0.0281,0.0169,0.0634,0.9071,0.0353,Matrix Factorization
12,DeepFM,0.0351,0.0085,0.049,0.9078,0.0313,Neural
13,ALS,0.0181,0.017,0.0429,0.9066,0.0252,Matrix Factorization
14,SVD,0.0216,0.0103,0.0423,0.9066,0.0244,Matrix Factorization
15,Random,0.0287,0.0061,0.0359,0.9074,0.0241,Baseline
